oq,q,rvnm,stcd,stnm,tm,wptn,z
0,32400,长江,60105400,寸滩,1596211200000,5,175.53
0,32700,长江,60105400,寸滩,1596214800000,5,175.64
0,33100,长江,60105400,寸滩,1596218400000,5,175.78
0,33500,长江,60105400,寸滩,1596222000000,5,175.9
0,33800,长江,60105400,寸滩,1596225600000,5,176.02
0,34000,长江,60105400,寸滩,1596229200000,5,176.09
0,34200,长江,60105400,寸滩,1596232800000,5,176.17
0,34400,长江,60105400,寸滩,1596236400000,5,176.23
0,34500,长江,60105400,寸滩,1596240000000,5,176.27
0,34600,长江,60105400,寸滩,1596243600000,5,176.31
0,34500,长江,60105400,寸滩,1596247200000,4,176.29
0,33900,长江,60105400,寸滩,1596250800000,4,176.26
0,33800,长江,60105400,寸滩,1596254400000,4,176.23
0,33700,长江,60105400,寸滩,1596258000000,4,176.19
0,33600,长江,60105400,寸滩,1596261600000,4,176.15
0,33400,长江,60105400,寸滩,1596265200000,4,176.1
0,33200,长江,60105400,寸滩,1596268800000,4,176.04
0,33000,长江,60105400,寸滩,1596272400000,4,175.99
0,32900,长江,60105400,寸滩,1596283200000,5,175.95
0,32800,长江,60105400,寸滩,1596286800000,4,175.91
0,32800,长江,60105400,寸滩,1596290400000,5,175.92
0,32900,长江,60105400,寸滩,1596294000000,5,175.94
0,33000,长江,60105400,寸滩,1596297600000,5,175.99
0,33100,长江,60105400,寸滩,1596301200000,5,176.02
0,33100,长江,60105400,寸滩,1596304800000,4,176.01
0,33200,长江,60105400,寸滩,1596308400000,5,176.05
0,33300,长江,60105400,寸滩,1596312000000,5,176.08
0,33400,长江,60105400,寸滩,1596315600000,5,176.1
0,33400,长江,60105400,寸滩,1596319200000,5,176.11
0,33400,长江,60105400,寸滩,1596322800000,4,176.09
0,33300,长江,60105400,寸滩,1596326400000,4,176.08
0,33200,长江,60105400,寸滩,1596330000000,4,176.04
0,33000,长江,60105400,寸滩,1596333600000,4,175.97
0,32800,长江,60105400,寸滩,1596337200000,4,175.93
0,32600,长江,60105400,寸滩,1596340800000,4,175.85
0,32300,长江,60105400,寸滩,1596344400000,4,175.76
0,32100,长江,60105400,寸滩,1596348000000,4,175.7
0,31700,长江,60105400,寸滩,1596351600000,4,175.58
0,31400,长江,60105400,寸滩,1596355200000,4,175.48
0,31200,长江,60105400,寸滩,1596358800000,4,175.42
0,31000,长江,60105400,寸滩,1596362400000,4,175.35
0,30800,长江,60105400,寸滩,1596366000000,4,175.29
0,30700,长江,60105400,寸滩,1596369600000,4,175.26
0,30600,长江,60105400,寸滩,1596373200000,4,175.2
0,30400,长江,60105400,寸滩,1596376800000,4,175.16
0,30300,长江,60105400,寸滩,1596380400000,4,175.13
0,30300,长江,60105400,寸滩,1596384000000,4,175.12
0,30300,长江,60105400,寸滩,1596387600000,4,175.11
0,30300,长江,60105400,寸滩,1596391200000,6,175.11
0,30300,长江,60105400,寸滩,1596394800000,5,175.12
0,30400,长江,60105400,寸滩,1596398400000,5,175.16
0,30500,长江,60105400,寸滩,1596402000000,5,175.19
0,30500,长江,60105400,寸滩,1596405600000,6,175.19
0,30600,长江,60105400,寸滩,1596409200000,5,175.23
0,30800,长江,60105400,寸滩,1596412800000,5,175.27
0,30900,长江,60105400,寸滩,1596416400000,5,175.32
0,31100,长江,60105400,寸滩,1596420000000,5,175.39
0,32100,长江,60105400,寸滩,1596423600000,5,175.42
0,32200,长江,60105400,寸滩,1596427200000,5,175.46
0,32200,长江,60105400,寸滩,1596430800000,4,175.45
0,32100,长江,60105400,寸滩,1596434400000,4,175.41
0,31900,长江,60105400,寸滩,1596438000000,4,175.35
0,31700,长江,60105400,寸滩,1596441600000,4,175.28
0,31500,长江,60105400,寸滩,1596445200000,4,175.22
0,31200,长江,60105400,寸滩,1596448800000,4,175.14
0,31000,长江,60105400,寸滩,1596452400000,4,175.05
0,30800,长江,60105400,寸滩,1596456000000,4,175
0,30600,长江,60105400,寸滩,1596459600000,4,174.92
0,30400,长江,60105400,寸滩,1596463200000,4,174.85
0,30200,长江,60105400,寸滩,1596466800000,4,174.79
0,30000,长江,60105400,寸滩,1596470400000,4,174.73
0,29800,长江,60105400,寸滩,1596474000000,4,174.64
0,29700,长江,60105400,寸滩,1596477600000,4,174.59
0,29400,长江,60105400,寸滩,1596481200000,4,174.51
0,29200,长江,60105400,寸滩,1596484800000,4,174.42
0,29000,长江,60105400,寸滩,1596488400000,4,174.36
0,28800,长江,60105400,寸滩,1596492000000,4,174.29
0,28600,长江,60105400,寸滩,1596495600000,4,174.2
0,28300,长江,60105400,寸滩,1596499200000,4,174.09
0,27800,长江,60105400,寸滩,1596500760000,4,174.06
0,28000,长江,60105400,寸滩,1596502800000,4,174.01
0,27800,长江,60105400,寸滩,1596506400000,4,173.91
0,27500,长江,60105400,寸滩,1596510000000,4,173.81
0,27200,长江,60105400,寸滩,1596513600000,4,173.7
0,26800,长江,60105400,寸滩,1596517200000,4,173.57
0,26400,长江,60105400,寸滩,1596520800000,4,173.41
0,26100,长江,60105400,寸滩,1596524400000,4,173.29
0,25700,长江,60105400,寸滩,1596528000000,4,173.16
0,25400,长江,60105400,寸滩,1596531600000,4,173.05
0,25100,长江,60105400,寸滩,1596535200000,4,172.94
0,24900,长江,60105400,寸滩,1596538800000,4,172.86
0,24800,长江,60105400,寸滩,1596542400000,4,172.8
0,24500,长江,60105400,寸滩,1596546000000,4,172.7
0,24300,长江,60105400,寸滩,1596549600000,4,172.64
0,24200,长江,60105400,寸滩,1596553200000,4,172.58
0,24000,长江,60105400,寸滩,1596556800000,4,172.51
0,23900,长江,60105400,寸滩,1596560400000,4,172.47
0,23800,长江,60105400,寸滩,1596564000000,4,172.43
0,23700,长江,60105400,寸滩,1596567600000,4,172.4
0,23500,长江,60105400,寸滩,1596571200000,4,172.35
0,23400,长江,60105400,寸滩,1596574800000,4,172.31
0,23300,长江,60105400,寸滩,1596578400000,4,172.25
0,23200,长江,60105400,寸滩,1596582000000,4,172.21
0,23000,长江,60105400,寸滩,1596585600000,4,172.14
0,23600,长江,60105400,寸滩,1596586440000,4,172.12
0,22800,长江,60105400,寸滩,1596589200000,4,172.08
0,23500,长江,60105400,寸滩,1596592800000,4,172.07
0,23600,长江,60105400,寸滩,1596596400000,5,172.13
0,23700,长江,60105400,寸滩,1596600000000,5,172.15
0,23600,长江,60105400,寸滩,1596603600000,4,172.12
0,23500,长江,60105400,寸滩,1596607200000,4,172.1
0,23400,长江,60105400,寸滩,1596610800000,4,172.06
0,23400,长江,60105400,寸滩,1596614400000,4,172.05
0,23300,长江,60105400,寸滩,1596618000000,4,172.02
0,23300,长江,60105400,寸滩,1596621600000,4,171.99
0,23200,长江,60105400,寸滩,1596625200000,4,171.97
0,23200,长江,60105400,寸滩,1596628800000,6,171.97
0,23200,长江,60105400,寸滩,1596632400000,4,171.96
0,23200,长江,60105400,寸滩,1596636000000,6,171.96
0,23300,长江,60105400,寸滩,1596639600000,5,171.99
0,23400,长江,60105400,寸滩,1596643200000,5,172.03
0,23400,长江,60105400,寸滩,1596646800000,5,172.06
0,23500,长江,60105400,寸滩,1596650400000,5,172.07
0,23500,长江,60105400,寸滩,1596654000000,5,172.1
0,23600,长江,60105400,寸滩,1596657600000,5,172.13
0,23600,长江,60105400,寸滩,1596661200000,6,172.13
0,23600,长江,60105400,寸滩,1596664800000,4,172.12
0,23600,长江,60105400,寸滩,1596668400000,6,172.12
0,23600,长江,60105400,寸滩,1596672000000,6,172.12
0,23500,长江,60105400,寸滩,1596675600000,4,172.09
0,23500,长江,60105400,寸滩,1596679200000,4,172.08
0,23600,长江,60105400,寸滩,1596682800000,5,172.11
0,23600,长江,60105400,寸滩,1596686400000,6,172.11
0,23600,长江,60105400,寸滩,1596690000000,5,172.12
0,23500,长江,60105400,寸滩,1596693600000,4,172.08
0,23500,长江,60105400,寸滩,1596697200000,5,172.09
0,23500,长江,60105400,寸滩,1596700800000,4,172.07
0,23500,长江,60105400,寸滩,1596704400000,6,172.07
0,23600,长江,60105400,寸滩,1596708000000,5,172.11
0,23500,长江,60105400,寸滩,1596711600000,4,172.08
0,23400,长江,60105400,寸滩,1596715200000,4,172.06
0,23400,长江,60105400,寸滩,1596718800000,4,172.05
0,23400,长江,60105400,寸滩,1596722400000,6,172.05
0,23300,长江,60105400,寸滩,1596726000000,4,171.99
0,23200,长江,60105400,寸滩,1596729600000,4,171.97
0,23100,长江,60105400,寸滩,1596733200000,4,171.93
0,23100,长江,60105400,寸滩,1596736800000,6,171.93
0,23000,长江,60105400,寸滩,1596740400000,4,171.87
0,22800,长江,60105400,寸滩,1596744000000,4,171.82
0,22700,长江,60105400,寸滩,1596747600000,4,171.77
0,22500,长江,60105400,寸滩,1596751200000,4,171.7
0,22500,长江,60105400,寸滩,1596754800000,4,171.68
0,22400,长江,60105400,寸滩,1596758400000,4,171.65
0,23400,长江,60105400,寸滩,1596759720000,4,171.64
0,22300,长江,60105400,寸滩,1596762000000,4,171.6
0,23300,长江,60105400,寸滩,1596765600000,4,171.54
0,23200,长江,60105400,寸滩,1596769200000,4,171.52
0,23200,长江,60105400,寸滩,1596772800000,6,171.52
0,23100,长江,60105400,寸滩,1596776400000,4,171.46
0,22900,长江,60105400,寸滩,1596780000000,4,171.41
0,22900,长江,60105400,寸滩,1596783600000,4,171.4
0,22800,长江,60105400,寸滩,1596787200000,4,171.37
0,22700,长江,60105400,寸滩,1596790800000,4,171.34
0,22700,长江,60105400,寸滩,1596794400000,6,171.34
0,22800,长江,60105400,寸滩,1596798000000,5,171.37
0,22900,长江,60105400,寸滩,1596801600000,5,171.4
0,22900,长江,60105400,寸滩,1596805200000,6,171.4
0,23200,长江,60105400,寸滩,1596808800000,5,171.5
0,23200,长江,60105400,寸滩,1596812400000,5,171.51
0,23200,长江,60105400,寸滩,1596816000000,6,171.51
0,23300,长江,60105400,寸滩,1596819600000,5,171.55
0,23300,长江,60105400,寸滩,1596823200000,6,171.55
0,23400,长江,60105400,寸滩,1596826800000,5,171.59
0,23500,长江,60105400,寸滩,1596830400000,5,171.61
0,23500,长江,60105400,寸滩,1596834000000,5,171.62
0,23500,长江,60105400,寸滩,1596837600000,5,171.63
0,23500,长江,60105400,寸滩,1596841200000,4,171.61
0,23500,长江,60105400,寸滩,1596844800000,5,171.63
0,23600,长江,60105400,寸滩,1596848400000,5,171.67
0,23700,长江,60105400,寸滩,1596852000000,5,171.69
0,24900,长江,60105400,寸滩,1596853920000,5,171.7
0,23900,长江,60105400,寸滩,1596855600000,5,171.76
0,25000,长江,60105400,寸滩,1596859200000,5,171.81
0,25100,长江,60105400,寸滩,1596862800000,5,171.86
0,25100,长江,60105400,寸滩,1596866400000,6,171.86
0,25100,长江,60105400,寸滩,1596870000000,5,171.87
0,25000,长江,60105400,寸滩,1596873600000,4,171.82
0,25000,长江,60105400,寸滩,1596877200000,4,171.81
0,25000,长江,60105400,寸滩,1596880800000,6,171.81
0,24900,长江,60105400,寸滩,1596884400000,4,171.8
